ratio
962 38 0.031024
979 21 0.0168472
982 18 0.0143963
980 20 0.0160285
999 1 0.000786184
995 5 0.00394672
1000 0 0
994 6 0.00474083
991 9 0.00713278
991 9 0.00713278
988 12 0.00953925
995 5 0.00394672
982 18 0.0143963
997 3 0.00236328
993 7 0.00553654
997 3 0.00236328
987 13 0.0103447
987 13 0.0103447
997 3 0.00236328
992 8 0.00633386
985 15 0.0119604
999 1 0.000786184
990 10 0.00793331
994 6 0.00474083
983 17 0.0135827
992 8 0.00633386
983 17 0.0135827
999 1 0.000786184
991 9 0.00713278
997 3 0.00236328
994 6 0.00474083
990 10 0.00793331
981 19 0.0152116
987 13 0.0103447
993 7 0.00553654
968 32 0.0259636
988 12 0.00953925
986 14 0.0111517
993 7 0.00553654
996 4 0.00315421
997 3 0.00236328
991 9 0.00713278
999 1 0.000786184
990 10 0.00793331
995 5 0.00394672
993 7 0.00553654
991 9 0.00713278
995 5 0.00394672
992 8 0.00633386
1000 0 0
989 11 0.00873547
962 38 0.031024
984 16 0.0127707
995 5 0.00394672
995 5 0.00394672
996 4 0.00315421
999 1 0.000786184
985 15 0.0119604
992 8 0.00633386
987 13 0.0103447
988 12 0.00953925
993 7 0.00553654
999 1 0.000786184
994 6 0.00474083
992 8 0.00633386
984 16 0.0127707
988 12 0.00953925
979 21 0.0168472
970 30 0.0242907
962 38 0.031024
971 29 0.0234568
979 21 0.0168472
985 15 0.0119604
994 6 0.00474083
993 7 0.00553654
995 5 0.00394672
990 10 0.00793331
992 8 0.00633386
986 14 0.0111517
996 4 0.00315421
988 12 0.00953925
992 8 0.00633386
997 3 0.00236328
995 5 0.00394672
993 7 0.00553654
998 2 0.00157394
995 5 0.00394672
997 3 0.00236328
993 7 0.00553654
994 6 0.00474083
990 10 0.00793331
999 1 0.000786184
998 2 0.00157394
991 9 0.00713278
990 10 0.00793331
997 3 0.00236328
974 26 0.0209655
988 12 0.00953925
1000 0 0
979 21 0.0168472
977 23 0.0184894
991 9 0.00713278
997 3 0.00236328
992 8 0.00633386
999 1 0.000786184
986 14 0.0111517
992 8 0.00633386
998 2 0.00157394
992 8 0.00633386
990 10 0.00793331
998 2 0.00157394
1000 0 0
998 2 0.00157394
990 10 0.00793331
985 15 0.0119604
991 9 0.00713278
978 22 0.0176674
991 9 0.00713278
995 5 0.00394672
994 6 0.00474083
987 13 0.0103447
988 12 0.00953925
996 4 0.00315421
994 6 0.00474083
1000 0 0
998 2 0.00157394
986 14 0.0111517
987 13 0.0103447
963 37 0.0301763
987 13 0.0103447
993 7 0.00553654
990 10 0.00793331
1000 0 0
990 10 0.00793331
997 3 0.00236328
995 5 0.00394672
994 6 0.00474083
998 2 0.00157394
989 11 0.00873547
989 11 0.00873547
1000 0 0
997 3 0.00236328
998 2 0.00157394
993 7 0.00553654
985 15 0.0119604
997 3 0.00236328
999 1 0.000786184
978 22 0.0176674
975 25 0.0201384
983 17 0.0135827
991 9 0.00713278
996 4 0.00315421
996 4 0.00315421
997 3 0.00236328
992 8 0.00633386
996 4 0.00315421
990 10 0.00793331
977 23 0.0184894
965 35 0.0284859
977 23 0.0184894
997 3 0.00236328
994 6 0.00474083
987 13 0.0103447
986 14 0.0111517
989 11 0.00873547
997 3 0.00236328
991 9 0.00713278
996 4 0.00315421
987 13 0.0103447
983 17 0.0135827
979 21 0.0168472
994 6 0.00474083
994 6 0.00474083
992 8 0.00633386
992 8 0.00633386
994 6 0.00474083
991 9 0.00713278
999 1 0.000786184
984 16 0.0127707
1000 0 0
987 13 0.0103447
998 2 0.00157394
990 10 0.00793331
997 3 0.00236328
996 4 0.00315421
992 8 0.00633386
998 2 0.00157394
990 10 0.00793331
993 7 0.00553654
999 1 0.000786184
990 10 0.00793331
985 15 0.0119604
987 13 0.0103447
996 4 0.00315421
992 8 0.00633386
991 9 0.00713278
1000 0 0
985 15 0.0119604
992 8 0.00633386
994 6 0.00474083
991 9 0.00713278
999 1 0.000786184
1000 0 0
993 7 0.00553654
999 1 0.000786184
999 1 0.000786184
999 1 0.000786184
999 1 0.000786184
995 5 0.00394672
998 2 0.00157394
1000 0 0
989 11 0.00873547
990 10 0.00793331
990 10 0.00793331
986 14 0.0111517
992 8 0.00633386
998 2 0.00157394
1000 0 0
995 5 0.00394672
999 1 0.000786184
974 26 0.0209655
973 27 0.0217942
973 27 0.0217942
975 25 0.0201384
977 23 0.0184894
981 19 0.0152116
985 15 0.0119604
1000 0 0
992 8 0.00633386
996 4 0.00315421
998 2 0.00157394
986 14 0.0111517
989 11 0.00873547
995 5 0.00394672
988 12 0.00953925
1000 0 0
992 8 0.00633386
990 10 0.00793331
982 18 0.0143963
992 8 0.00633386
994 6 0.00474083
988 12 0.00953925
994 6 0.00474083
1000 0 0
984 16 0.0127707
994 6 0.00474083
992 8 0.00633386
1000 0 0
989 11 0.00873547
991 9 0.00713278
999 1 0.000786184
987 13 0.0103447
989 11 0.00873547
995 5 0.00394672
1000 0 0
986 14 0.0111517
987 13 0.0103447
988 12 0.00953925
991 9 0.00713278
998 2 0.00157394
996 4 0.00315421
997 3 0.00236328
996 4 0.00315421
998 2 0.00157394
990 10 0.00793331
988 12 0.00953925
984 16 0.0127707
974 26 0.0209655
954 46 0.0378704
954 46 0.0378704
966 34 0.0276434
990 10 0.00793331
995 5 0.00394672
996 4 0.00315421
993 7 0.00553654
989 11 0.00873547
991 9 0.00713278
984 16 0.0127707
998 2 0.00157394
976 24 0.0193131
968 32 0.0259636
990 10 0.00793331
992 8 0.00633386
996 4 0.00315421
995 5 0.00394672
980 20 0.0160285
994 6 0.00474083
985 15 0.0119604
973 27 0.0217942
993 7 0.00553654
970 30 0.0242907
972 28 0.0226246
969 31 0.0251263
987 13 0.0103447
991 9 0.00713278
975 25 0.0201384
981 19 0.0152116
966 34 0.0276434
964 36 0.0293302
955 45 0.0370083
965 35 0.0284859
970 30 0.0242907
977 23 0.0184894
999 1 0.000786184
997 3 0.00236328
988 12 0.00953925
995 5 0.00394672
994 6 0.00474083
978 22 0.0176674
968 32 0.0259636
983 17 0.0135827
993 7 0.00553654
1000 0 0
1000 0 0
992 8 0.00633386
991 9 0.00713278
996 4 0.00315421
994 6 0.00474083
999 1 0.000786184
976 24 0.0193131
935 65 0.0545999
953 47 0.0387342
946 54 0.0448325
950 50 0.0413367
965 35 0.0284859
957 43 0.0352896
974 26 0.0209655
978 22 0.0176674
992 8 0.00633386
991 9 0.00713278
989 11 0.00873547
992 8 0.00633386
998 2 0.00157394
991 9 0.00713278
988 12 0.00953925
975 25 0.0201384
977 23 0.0184894
979 21 0.0168472
980 20 0.0160285
997 3 0.00236328
990 10 0.00793331
996 4 0.00315421
966 34 0.0276434
990 10 0.00793331
991 9 0.00713278
987 13 0.0103447
999 1 0.000786184
993 7 0.00553654
978 22 0.0176674
975 25 0.0201384
961 39 0.0318736
962 38 0.031024
973 27 0.0217942
987 13 0.0103447
985 15 0.0119604
993 7 0.00553654
991 9 0.00713278
989 11 0.00873547
996 4 0.00315421
998 2 0.00157394
994 6 0.00474083
994 6 0.00474083
986 14 0.0111517
999 1 0.000786184
980 20 0.0160285
999 1 0.000786184
997 3 0.00236328
996 4 0.00315421
998 2 0.00157394
989 11 0.00873547
990 10 0.00793331
979 21 0.0168472
994 6 0.00474083
997 3 0.00236328
998 2 0.00157394
979 21 0.0168472
985 15 0.0119604
996 4 0.00315421
990 10 0.00793331
996 4 0.00315421
995 5 0.00394672
992 8 0.00633386
998 2 0.00157394
995 5 0.00394672
1000 0 0
994 6 0.00474083
990 10 0.00793331
987 13 0.0103447
996 4 0.00315421
994 6 0.00474083
972 28 0.0226246
987 13 0.0103447
990 10 0.00793331
1000 0 0
990 10 0.00793331
999 1 0.000786184
994 6 0.00474083
998 2 0.00157394
970 30 0.0242907
970 30 0.0242907
981 19 0.0152116
987 13 0.0103447
997 3 0.00236328
992 8 0.00633386
992 8 0.00633386
997 3 0.00236328
995 5 0.00394672
998 2 0.00157394
998 2 0.00157394
999 1 0.000786184
1000 0 0
993 7 0.00553654
998 2 0.00157394
997 3 0.00236328
999 1 0.000786184
991 9 0.00713278
958 42 0.0344329
968 32 0.0259636
969 31 0.0251263
981 19 0.0152116
991 9 0.00713278
981 19 0.0152116
975 25 0.0201384
974 26 0.0209655
982 18 0.0143963
965 35 0.0284859
948 52 0.0430809
955 45 0.0370083
946 54 0.0448325
959 41 0.033578
970 30 0.0242907
983 17 0.0135827
976 24 0.0193131
981 19 0.0152116
999 1 0.000786184
992 8 0.00633386
990 10 0.00793331
976 24 0.0193131
987 13 0.0103447
987 13 0.0103447
984 16 0.0127707
997 3 0.00236328
994 6 0.00474083
991 9 0.00713278
992 8 0.00633386
999 1 0.000786184
991 9 0.00713278
994 6 0.00474083
993 7 0.00553654
997 3 0.00236328
993 7 0.00553654
984 16 0.0127707
988 12 0.00953925
997 3 0.00236328
984 16 0.0127707
999 1 0.000786184
995 5 0.00394672
988 12 0.00953925
999 1 0.000786184
997 3 0.00236328
998 2 0.00157394
989 11 0.00873547
993 7 0.00553654
998 2 0.00157394
985 15 0.0119604
996 4 0.00315421
986 14 0.0111517
991 9 0.00713278
995 5 0.00394672
994 6 0.00474083
996 4 0.00315421
987 13 0.0103447
997 3 0.00236328
992 8 0.00633386
996 4 0.00315421
962 38 0.031024
950 50 0.0413367
975 25 0.0201384
965 35 0.0284859
